"","student_id","hours_studied","attendance","parental_involvement","access_to_resources","sleep_hours","previous_scores","internet_access","family_income","teacher_quality","school_type","gender","exam_score"
"957",957,22,90,"High","High",8,75,"Yes","Low","Low","Private","Male",70
"958",958,23,95,"Medium","Medium",7,75,"Yes","High","Medium","Public","Male",73
"959",959,23,86,"Medium","High",8,96,"Yes","Medium","Medium","Private","Female",71
"960",960,23,94,"Medium","Low",8,62,"Yes","Low","Medium","Public","Female",69
"961",961,24,64,"Medium","High",6,85,"Yes","High","Low","Private","Male",66
"962",962,28,74,"Medium","Low",4,62,"Yes","Low","Medium","Private","Male",65
"963",963,21,95,"High","Medium",4,55,"Yes","Medium","High","Private","Male",71
"964",964,24,68,"Medium","Medium",4,98,"Yes","Medium","High","Public","Male",68
"965",965,19,63,"Medium","High",7,56,"Yes","Low","Medium","Private","Female",64
"966",966,29,92,"Low","Low",4,84,"Yes","Low","Medium","Public","Male",71
"967",967,16,93,"Low","Medium",7,71,"Yes","Medium","High","Public","Male",67
"968",968,31,67,"Medium","Low",7,92,"Yes","Medium","Medium","Public","Female",66
"969",969,20,94,"Low","High",8,89,"Yes","Low","Medium","Public","Male",71
"970",970,11,87,"Low","Medium",8,57,"Yes","Low","Medium","Public","Male",62
"971",971,21,81,"High","Medium",8,73,"Yes","Low","Medium","Public","Male",67
"972",972,16,93,"Medium","Low",8,51,"Yes","Low","Medium","Public","Male",67
"973",973,25,77,"Low","Medium",7,71,"Yes","Medium","Medium","Public","Female",66
"974",974,16,68,"Low","Medium",7,85,"Yes","Low","High","Private","Female",64
"975",975,17,71,"Low","Medium",6,62,"Yes","Low","Medium","Public","Male",62
"976",976,9,80,"Medium","High",7,91,"Yes","Medium","Medium","Public","Female",65
"977",977,17,81,"Medium","Low",5,53,"Yes","Medium","Medium","Public","Male",63
"978",978,5,92,"Medium","Medium",9,52,"Yes","High","Medium","Private","Female",64
"979",979,10,92,"Low","High",6,51,"Yes","Medium","Medium","Private","Female",65
"980",980,25,83,"Medium","High",7,64,"Yes","Low","Medium","Public","Male",68
"981",981,25,91,"Medium","High",7,73,"Yes","Low","Medium","Public","Female",72
"982",982,23,68,"Medium","Medium",9,55,"Yes","Low","Medium","Public","Male",64
"983",983,14,62,"High","Medium",4,100,"Yes","Low","Medium","Public","Male",62
"984",984,20,95,"Medium","Low",7,100,"No","Low","Medium","Private","Female",69
"985",985,20,63,"Low","Low",8,76,"Yes","Medium","Medium","Public","Female",64
"986",986,13,70,"High","Medium",10,78,"Yes","Low","Medium","Public","Female",61
"987",987,29,88,"Medium","High",7,96,"Yes","Low","Low","Public","Female",72
"988",988,25,76,"Medium","Low",6,88,"Yes","Medium","Medium","Private","Male",66
"989",989,19,95,"High","Low",10,58,"Yes","High","Medium","Public","Male",69
"990",990,20,72,"Medium","Medium",8,90,"No","Low","Low","Private","Female",65
"991",991,21,60,"High","Medium",9,62,"Yes","Low","Medium","Public","Male",64
"992",992,8,72,"Low","Medium",5,72,"Yes","High","Low","Private","Female",62
"993",993,19,83,"Medium","Medium",8,77,"Yes","Low","Medium","Public","Male",66
"994",994,16,75,"Low","Low",5,86,"Yes","Low","Medium","Public","Female",62
"995",995,14,81,"Medium","Medium",5,58,"Yes","Low","High","Public","Male",66
"996",996,18,95,"Medium","High",8,54,"Yes","High","Medium","Public","Female",70
"997",997,31,96,"Medium","Medium",8,93,"Yes","Low","Medium","Public","Male",75
"998",998,24,71,"Low","High",6,91,"Yes","High","Medium","Public","Female",67
"999",999,17,78,"Low","Medium",9,76,"Yes","Medium","Medium","Public","Male",66
"1000",1000,23,82,"Medium","High",6,83,"Yes","Medium","Medium","Private","Male",71
"1001",1001,28,98,"High","Medium",7,86,"Yes","Medium","High","Private","Female",75
"1002",1002,26,100,"High","High",7,74,"Yes","Medium","Medium","Public","Female",72
"1003",1003,20,69,"High","Medium",7,63,"Yes","Low","Medium","Private","Female",64
"1004",1004,16,89,"Medium","Medium",9,74,"No","Low","Medium","Public","Male",65
"1005",1005,24,75,"Low","Medium",5,98,"Yes","Low","Medium","Public","Male",67
"1006",1006,22,60,"Medium","Medium",6,92,"Yes","Low","High","Public","Male",63
"1007",1007,25,60,"Medium","Low",5,73,"Yes","Medium","Medium","Public","Male",62
"1008",1008,24,78,"Low","High",10,61,"Yes","Medium","Medium","Public","Female",69
"1009",1009,26,80,"Medium","Medium",7,94,"Yes","Low","Medium","Private","Male",70
"1010",1010,17,61,"Low","Medium",6,82,"Yes","Medium","High","Public","Male",63
"1011",1011,28,87,"Medium","Medium",7,70,"Yes","Low","Medium","Public","Male",71
"1012",1012,21,72,"Medium","Low",8,56,"Yes","Low","Medium","Public","Male",63
"1013",1013,32,82,"Low","Medium",8,88,"Yes","High","Medium","Public","Male",71
"1014",1014,16,72,"Medium","Medium",6,66,"Yes","Low","Medium","Private","Male",63
"1015",1015,30,67,"Medium","High",6,80,"Yes","Low","Medium","Public","Male",68
"1016",1016,21,76,"Medium","Low",5,78,"No","Low","High","Public","Male",65
"1017",1017,16,69,"High","High",7,85,"Yes","High","High","Private","Female",66
"1018",1018,17,81,"Low","Medium",9,77,"Yes","Low","Medium","Public","Male",66
"1019",1019,18,68,"High","High",6,82,"Yes","Medium","High","Public","Male",66
"1020",1020,23,80,"Low","Low",8,54,"Yes","Medium","High","Private","Female",65
"1021",1021,23,66,"Medium","High",6,83,"Yes","High","Medium","Public","Female",66
"1022",1022,17,87,"Medium","Medium",5,60,"Yes","Medium","Medium","Private","Female",67
"1023",1023,20,90,"High","Medium",8,70,"Yes","Medium","Medium","Private","Female",68
"1024",1024,33,64,"Medium","Low",10,76,"Yes","High","High","Private","Male",68
"1025",1025,30,79,"Low","Medium",8,84,"Yes","Low","Medium","Private","Female",69
"1026",1026,23,63,"Medium","Low",6,87,"Yes","Medium","Medium","Public","Male",64
"1027",1027,20,84,"Medium","Medium",6,85,"Yes","Medium","Medium","Private","Male",67
"1028",1028,21,71,"Medium","Medium",10,55,"Yes","Medium","Medium","Public","Female",63
"1029",1029,24,81,"Low","High",7,69,"Yes","Low","Medium","Public","Male",67
"1030",1030,14,81,"Medium","High",6,64,"No","High","High","Public","Female",64
"1031",1031,18,97,"Low","Medium",7,70,"Yes","High","Medium","Public","Female",66
"1032",1032,10,82,"High","Medium",7,82,"Yes","Low","High","Private","Male",65
"1033",1033,22,83,"Medium","Medium",8,60,"No","Medium","Medium","Public","Female",68
"1034",1034,24,76,"Low","High",9,75,"Yes","Low","Medium","Private","Male",66
"1035",1035,17,98,"High","High",9,94,"Yes","High","Low","Public","Male",71
"1036",1036,29,91,"Medium","High",7,87,"No","Medium","High","Private","Female",74
"1037",1037,13,71,"Medium","High",7,86,"Yes","Low","Medium","Public","Male",65
"1038",1038,11,94,"Low","High",8,92,"Yes","Medium","Medium","Public","Female",68
"1039",1039,21,77,"Medium","High",6,70,"No","High","Medium","Private","Male",68
"1040",1040,26,93,"Medium","Medium",8,88,"Yes","Medium","High","Public","Male",72
"1041",1041,30,93,"High","High",7,53,"Yes","Low","Medium","Private","Female",74
"1042",1042,17,68,"Low","High",8,53,"Yes","Low","Medium","Public","Male",61
"1043",1043,26,88,"Low","Low",10,67,"Yes","Low","Low","Private","Male",65
"1044",1044,20,72,"High","Low",8,60,"Yes","Low","Medium","Public","Male",63
"1045",1045,19,72,"High","Medium",7,76,"Yes","Medium","High","Public","Female",66
"1046",1046,25,72,"Low","High",6,59,"Yes","Low","Medium","Public","Male",66
"1047",1047,24,89,"High","Medium",7,99,"Yes","Low","High","Private","Female",73
"1048",1048,11,69,"Medium","Medium",5,93,"Yes","Medium","High","Public","Male",63
"1049",1049,29,60,"High","High",8,99,"Yes","Medium","Medium","Public","Female",68
"1050",1050,28,89,"High","Low",4,90,"Yes","Low","High","Public","Female",73
"1051",1051,16,67,"Low","High",8,98,"Yes","High","Low","Private","Male",63
"1052",1052,22,64,"Medium","High",8,68,"Yes","Medium","Medium","Public","Male",65
"1053",1053,23,70,"Low","High",7,75,"Yes","Low","Medium","Public","Female",66
"1054",1054,22,75,"Low","Low",6,62,"Yes","High","High","Public","Female",65
"1055",1055,17,79,"Low","High",7,82,"Yes","Medium","High","Public","Male",66
"1056",1056,16,62,"High","Medium",4,89,"Yes","Low","Medium","Public","Female",65
"1057",1057,20,99,"Medium","Medium",8,75,"Yes","Low","High","Private","Female",70
"1058",1058,27,89,"Medium","Medium",7,65,"Yes","Medium","Medium","Public","Female",70
"1059",1059,23,73,"High","Medium",9,75,"Yes","High","High","Private","Female",68
"1060",1060,18,73,"Medium","High",8,53,"No","Low","High","Public","Male",64
"1061",1061,25,78,"Medium","Medium",7,86,"Yes","Medium","Medium","Public","Female",68
"1062",1062,3,85,"Low","High",8,73,"Yes","Low","Medium","Private","Male",62
"1063",1063,27,66,"Medium","Medium",6,95,"Yes","Medium","","Public","Male",68
"1064",1064,10,68,"Low","Medium",6,96,"Yes","High","Medium","Public","Male",61
"1065",1065,18,94,"High","Medium",7,56,"No","Low","Medium","Public","Male",69
"1066",1066,13,70,"Medium","Medium",7,100,"Yes","Low","Medium","Public","Male",65
"1067",1067,12,75,"Medium","High",6,98,"Yes","Low","Medium","Public","Male",65
"1068",1068,27,95,"Medium","High",7,81,"Yes","Low","Medium","Public","Male",72
"1069",1069,17,87,"Medium","Medium",7,91,"Yes","Low","High","Public","Female",70
"1070",1070,22,74,"Medium","High",10,51,"No","Medium","Medium","Private","Male",65
"1071",1071,20,87,"Medium","Medium",7,99,"Yes","Low","Medium","Public","Male",69
"1072",1072,23,61,"High","Low",6,73,"Yes","Medium","Medium","Public","Male",65
"1073",1073,20,89,"Low","Medium",7,95,"Yes","Low","Medium","Private","Male",69
"1074",1074,12,79,"Low","Medium",9,69,"Yes","Low","High","Public","Male",65
"1075",1075,26,93,"Medium","High",9,89,"Yes","Low","Medium","Public","Male",72
"1076",1076,17,98,"High","Low",10,71,"Yes","Low","High","Private","Female",70
"1077",1077,11,97,"Medium","Medium",7,68,"Yes","Low","Medium","Private","Female",64
"1078",1078,17,96,"Medium","Low",8,97,"Yes","Medium","Medium","Public","Female",67
"1079",1079,29,80,"Medium","Low",5,85,"Yes","High","High","Public","Male",69
"1080",1080,25,74,"Low","Medium",6,92,"Yes","Medium","Medium","Private","Male",70
"1081",1081,18,79,"Medium","Medium",5,77,"Yes","Low","High","Public","Male",65
"1082",1082,18,88,"High","High",8,96,"Yes","Low","Medium","Public","Female",69
"1083",1083,18,95,"High","Medium",7,87,"Yes","Medium","Medium","Public","Male",74
"1084",1084,32,68,"Low","Medium",7,54,"Yes","Low","Medium","Private","Male",66
"1085",1085,22,97,"Medium","Medium",6,88,"Yes","Low","Low","Private","Male",72
"1086",1086,23,93,"Medium","Low",8,51,"No","Low","High","Private","Male",67
"1087",1087,26,99,"Low","High",4,91,"Yes","High","Low","Public","Female",75
"1088",1088,21,95,"Medium","Low",7,67,"Yes","Medium","Medium","Public","Female",70
"1089",1089,18,71,"Low","Low",7,80,"Yes","Medium","Low","Public","Female",63
"1090",1090,19,64,"Medium","Medium",4,87,"Yes","Medium","Medium","Private","Male",65
"1091",1091,20,64,"Medium","High",8,82,"Yes","Medium","Low","Public","Female",64
"1092",1092,20,72,"Medium","High",7,84,"Yes","Medium","High","Public","Female",65
"1093",1093,24,85,"Medium","Medium",8,95,"Yes","Medium","Medium","Public","Female",70
"1094",1094,20,92,"Medium","Low",10,69,"Yes","Low","Medium","Public","Male",67
"1095",1095,24,96,"Medium","Medium",7,77,"No","Low","Medium","Public","Female",67
"1096",1096,20,85,"Medium","High",8,59,"Yes","Medium","Medium","Public","Female",68
"1097",1097,20,60,"Medium","Medium",9,73,"Yes","Medium","Medium","Public","Male",65
"1098",1098,8,67,"High","Medium",8,58,"Yes","Medium","Medium","Public","Female",61
"1099",1099,25,64,"Medium","Low",6,82,"Yes","Low","Medium","Public","Female",63
"1100",1100,22,75,"Medium","Low",5,66,"Yes","Low","Medium","Public","Male",80
"1101",1101,26,80,"Medium","Medium",8,93,"Yes","Low","Low","Public","Male",69
"1102",1102,3,62,"Medium","Low",6,67,"Yes","Low","Medium","Public","Male",55
"1103",1103,33,74,"Medium","Medium",9,64,"Yes","Medium","Medium","Private","Female",70
"1104",1104,19,67,"Medium","Medium",6,75,"Yes","Low","Medium","Public","Female",65
"1105",1105,27,86,"Low","Medium",7,59,"Yes","Medium","Medium","Public","Male",68
"1106",1106,14,79,"Medium","Low",5,60,"Yes","Low","Medium","Public","Male",64
"1107",1107,24,80,"Medium","Medium",6,89,"Yes","Low","High","Public","Male",69
"1108",1108,14,77,"Low","High",6,75,"Yes","Medium","High","Public","Female",89
"1109",1109,16,98,"Medium","Low",6,60,"Yes","Medium","Medium","Private","Male",67
"1110",1110,31,69,"Medium","Medium",7,52,"No","High","Low","Public","Male",92
"1111",1111,19,81,"High","High",6,73,"No","Low","High","Private","Female",67
"1112",1112,21,89,"Low","Medium",10,87,"Yes","Medium","Medium","Public","Male",70
"1113",1113,25,82,"High","Low",8,68,"Yes","Low","High","Public","Male",68
"1114",1114,23,97,"Medium","Low",9,62,"Yes","Low","Medium","Private","Male",70
"1115",1115,21,75,"Medium","Medium",7,70,"Yes","Medium","Medium","Public","Male",67
"1116",1116,22,79,"Medium","Medium",7,98,"Yes","High","Medium","Public","Male",69
"1117",1117,34,64,"Medium","Medium",6,71,"Yes","Low","High","Private","Female",67
"1118",1118,20,84,"High","High",10,63,"Yes","Low","Medium","Private","Female",69
"1119",1119,21,72,"Medium","High",7,78,"No","High","Medium","Public","Female",63
"1120",1120,26,66,"Medium","Medium",6,91,"Yes","Medium","","Public","Female",69
"1121",1121,27,82,"Medium","High",6,51,"Yes","Low","Medium","Public","Male",66
"1122",1122,27,81,"Medium","Medium",8,78,"Yes","Medium","Medium","Public","Male",68
"1123",1123,24,63,"Medium","Medium",9,92,"Yes","Medium","Medium","Private","Male",69
"1124",1124,13,88,"High","Low",9,61,"Yes","Medium","Medium","Private","Female",66
"1125",1125,30,85,"Medium","Medium",6,96,"Yes","Medium","Medium","Private","Female",72
"1126",1126,13,68,"Low","Medium",6,79,"Yes","High","Medium","Private","Male",62
"1127",1127,22,79,"Medium","Medium",9,76,"Yes","Low","Medium","Private","Male",67
"1128",1128,15,89,"High","Low",10,98,"Yes","Low","Medium","Private","Male",67
"1129",1129,20,81,"High","High",7,56,"No","Medium","Medium","Private","Male",67
"1130",1130,22,76,"Medium","Low",9,87,"Yes","Low","High","Public","Female",65
"1131",1131,22,73,"High","Low",5,91,"Yes","Medium","Medium","Public","Male",67
"1132",1132,23,84,"Low","Low",6,74,"No","Low","Medium","Public","Female",66
"1133",1133,30,98,"Low","Low",5,50,"Yes","Low","High","Public","Male",70
"1134",1134,23,87,"Low","High",8,76,"Yes","High","Medium","Public","Female",71
"1135",1135,19,63,"Low","High",7,58,"Yes","Low","High","Private","Female",64
"1136",1136,26,78,"Low","High",7,78,"Yes","Medium","Medium","Private","Female",69
"1137",1137,27,96,"Medium","High",9,87,"No","Medium","High","Public","Male",72
"1138",1138,13,64,"Medium","Low",6,77,"Yes","Low","High","Public","Male",60
"1139",1139,24,100,"Medium","Low",7,82,"Yes","Medium","High","Private","Male",71
"1140",1140,24,98,"Medium","Medium",5,55,"Yes","Medium","Medium","Public","Male",71
"1141",1141,18,63,"High","High",9,55,"Yes","High","High","Private","Female",66
"1142",1142,28,97,"Medium","Medium",9,93,"Yes","Medium","High","Public","Female",74
"1143",1143,19,75,"Medium","Medium",8,52,"Yes","Low","Medium","Public","Male",64
"1144",1144,21,94,"Medium","Low",7,64,"Yes","Medium","Medium","Private","Male",68
"1145",1145,19,77,"High","Low",6,97,"Yes","Low","Medium","Public","Male",66
"1146",1146,20,78,"Medium","Medium",5,73,"Yes","Low","Medium","Public","Female",65
"1147",1147,13,85,"Low","High",7,84,"No","Low","Medium","Public","Female",64
"1148",1148,11,91,"Medium","Low",8,61,"Yes","High","Medium","Private","Male",65
"1149",1149,30,61,"High","High",10,64,"Yes","Medium","Medium","Public","Male",69
"1150",1150,15,84,"Medium","High",6,75,"Yes","Medium","Medium","Private","Female",68
"1151",1151,14,67,"Medium","High",7,82,"Yes","Medium","Medium","Public","Female",62
"1152",1152,7,74,"Low","High",9,98,"Yes","High","Low","Public","Male",63
"1153",1153,16,74,"High","Low",9,79,"Yes","High","Medium","Public","Female",65
"1154",1154,12,79,"Low","High",6,55,"Yes","Low","High","Private","Female",62
"1155",1155,30,73,"Low","Medium",7,68,"Yes","Low","High","Public","Male",67
"1156",1156,26,64,"Low","High",6,62,"Yes","Low","Medium","Private","Male",64
"1157",1157,16,66,"Medium","Low",6,63,"Yes","Medium","High","Public","Male",61
"1158",1158,34,61,"Low","Medium",9,75,"Yes","Low","Medium","Public","Male",65
"1159",1159,26,79,"High","Low",7,66,"Yes","High","Medium","Public","Male",67
"1160",1160,18,98,"High","Low",7,64,"Yes","Medium","Medium","Public","Male",70
"1161",1161,5,65,"Medium","High",7,98,"Yes","Low","Low","Private","Male",59
"1162",1162,34,98,"Medium","High",7,79,"Yes","Low","Medium","Private","Male",75
"1163",1163,12,89,"Low","Medium",7,63,"Yes","Low","High","Public","Male",67
"1164",1164,10,85,"Medium","Medium",6,64,"Yes","Medium","Medium","Public","Male",64
"1165",1165,26,86,"Medium","High",9,91,"Yes","High","Medium","Public","Female",72
"1166",1166,35,93,"Medium","Medium",6,94,"Yes","Medium","Medium","Public","Female",76
"1167",1167,28,64,"Medium","High",6,84,"Yes","Medium","Medium","Private","Male",69
"1168",1168,23,80,"Low","Medium",7,72,"Yes","Low","High","Public","Male",65
"1169",1169,24,88,"High","Medium",10,88,"Yes","High","High","Public","Female",72
"1170",1170,25,83,"Medium","High",6,97,"Yes","Low","Low","Public","Male",69
"1171",1171,25,93,"High","Medium",8,58,"Yes","High","Medium","Private","Female",71
"1172",1172,22,63,"High","Medium",7,93,"Yes","Medium","Medium","Private","Male",64
"1173",1173,21,88,"High","High",7,92,"Yes","Medium","Medium","Public","Female",74
"1174",1174,20,81,"Medium","High",8,68,"Yes","Medium","Medium","Public","Male",68
"1175",1175,15,75,"Medium","High",4,65,"Yes","Low","Low","Private","Female",66
"1176",1176,18,74,"Medium","Medium",6,78,"Yes","High","Medium","Public","Female",65
"1177",1177,10,85,"High","Medium",8,64,"Yes","High","Medium","Public","Female",67
"1178",1178,19,96,"Medium","Medium",7,57,"Yes","Low","Medium","Public","Female",69
"1179",1179,14,80,"High","Low",7,98,"Yes","Low","High","Private","Male",66
"1180",1180,13,93,"Medium","High",8,75,"Yes","Medium","Medium","Private","Male",69
"1181",1181,21,76,"Medium","Medium",6,74,"Yes","Medium","Medium","Private","Male",67
"1182",1182,28,64,"Medium","Medium",9,56,"Yes","Low","Low","Public","Male",64
"1183",1183,26,62,"High","High",8,75,"Yes","Medium","Medium","Public","Male",67
"1184",1184,11,62,"Low","High",7,87,"No","Low","High","Public","Female",61
"1185",1185,14,75,"Medium","Low",8,62,"Yes","High","Medium","Public","Female",61
"1186",1186,26,73,"Medium","Medium",9,68,"Yes","Medium","Medium","Public","Male",68
"1187",1187,14,89,"Low","High",6,59,"Yes","Low","High","Public","Male",66
"1188",1188,19,90,"Medium","Medium",8,68,"Yes","High","Medium","Public","Male",66
"1189",1189,23,62,"Medium","High",10,93,"Yes","Low","","Public","Female",68
"1190",1190,14,69,"Low","High",8,62,"Yes","Medium","High","Private","Male",63
"1191",1191,21,71,"Medium","Medium",7,51,"Yes","Medium","High","Private","Female",66
"1192",1192,12,82,"High","Medium",10,77,"Yes","Medium","Medium","Public","Female",66
"1193",1193,16,66,"High","Medium",7,79,"Yes","High","High","Private","Female",66
"1194",1194,22,65,"Medium","Medium",9,66,"Yes","Medium","Medium","Public","Male",65
"1195",1195,10,98,"Medium","Medium",6,82,"Yes","High","Medium","Public","Male",69
"1196",1196,23,92,"Medium","High",9,52,"Yes","High","Medium","Private","Female",71
"1197",1197,20,67,"High","High",6,67,"Yes","Medium","High","Public","Female",66
"1198",1198,23,76,"Medium","Medium",7,57,"Yes","Medium","Medium","Public","Female",66
"1199",1199,21,74,"Medium","High",6,61,"No","Low","Medium","Private","Male",65
"1200",1200,28,92,"Low","Medium",10,69,"Yes","Low","Medium","Public","Female",71
"1201",1201,21,80,"Medium","High",7,75,"Yes","Medium","High","Private","Male",69
"1202",1202,17,65,"Low","Low",5,55,"Yes","Low","Medium","Public","Female",61
"1203",1203,21,90,"High","Medium",7,55,"Yes","Low","High","Public","Female",70
"1204",1204,23,76,"Medium","Medium",8,84,"Yes","High","Medium","Public","Female",70
"1205",1205,20,71,"Medium","Medium",7,70,"Yes","High","High","Public","Female",65
"1206",1206,20,75,"Medium","Low",6,59,"Yes","Medium","Medium","Public","Male",64
"1207",1207,16,80,"High","High",9,62,"Yes","High","Medium","Public","Female",68
"1208",1208,16,74,"Low","Medium",9,86,"Yes","Low","Medium","Private","Female",63
"1209",1209,12,70,"Medium","High",5,53,"Yes","Low","Medium","Private","Male",63
"1210",1210,30,76,"Medium","Medium",6,75,"Yes","High","Medium","Public","Female",71
"1211",1211,13,61,"High","Low",7,68,"No","Medium","Medium","Public","Male",58
"1212",1212,16,91,"Medium","Medium",6,91,"Yes","Medium","Medium","Public","Female",68
"1213",1213,16,67,"Medium","High",8,90,"Yes","High","Low","Public","Male",65
"1214",1214,25,62,"Medium","Medium",10,84,"Yes","Low","Medium","Public","Female",65
"1215",1215,18,86,"High","Low",6,69,"Yes","Medium","High","Public","Male",68
"1216",1216,27,91,"Low","High",9,82,"Yes","Low","Low","Public","Male",69
"1217",1217,16,93,"Medium","Medium",5,82,"Yes","High","Medium","Public","Male",71
"1218",1218,22,80,"Low","Medium",8,67,"Yes","Low","Low","Private","Male",65
"1219",1219,15,68,"Low","Medium",6,94,"Yes","Medium","High","Public","Female",64
"1220",1220,33,89,"Low","Medium",8,99,"Yes","High","High","Private","Male",75
"1221",1221,13,88,"High","Medium",4,66,"Yes","Low","High","Public","Female",67
"1222",1222,22,70,"Medium","High",5,90,"Yes","Medium","High","Public","Female",68
"1223",1223,24,96,"High","High",8,75,"Yes","Medium","Medium","Public","Female",72
"1224",1224,22,64,"Medium","Medium",6,73,"Yes","Medium","Medium","Public","Female",67
"1225",1225,19,99,"High","Medium",7,69,"Yes","High","Medium","Public","Male",72
"1226",1226,19,94,"Medium","Low",10,65,"Yes","Low","High","Public","Male",69
"1227",1227,20,88,"Low","Low",7,96,"Yes","High","High","Public","Male",68
"1228",1228,19,98,"Medium","Medium",8,87,"Yes","Medium","Medium","Private","Male",70
"1229",1229,26,89,"Medium","Medium",6,72,"Yes","Low","Medium","Public","Female",69
"1230",1230,33,68,"Medium","Low",5,88,"Yes","Low","Medium","Public","Male",67
"1231",1231,17,78,"Medium","Medium",7,86,"No","Low","Low","Public","Female",63
"1232",1232,12,63,"Medium","High",5,63,"Yes","Low","Medium","Private","Male",61
"1233",1233,19,76,"Medium","High",6,59,"Yes","Medium","Medium","Public","Female",66
"1234",1234,35,90,"High","Medium",7,92,"No","Low","Medium","Private","Male",73
"1235",1235,15,75,"Medium","High",7,91,"Yes","Medium","High","Public","Male",67
"1236",1236,30,73,"High","Medium",8,100,"Yes","High","High","Public","Female",72
"1237",1237,30,84,"High","Medium",8,51,"Yes","Low","Medium","Public","Male",69
"1238",1238,17,95,"Low","High",5,77,"Yes","Medium","Medium","Public","Female",69
"1239",1239,23,62,"Low","High",6,85,"Yes","Low","Medium","Public","Male",63
"1240",1240,30,75,"Medium","Medium",4,79,"Yes","Medium","Medium","Public","Male",67
"1241",1241,18,66,"Medium","Medium",6,86,"Yes","High","Medium","Public","Female",63
"1242",1242,19,88,"Medium","High",8,57,"No","Medium","Low","Private","Male",66
"1243",1243,17,64,"Medium","Medium",9,50,"Yes","Low","High","Public","Female",62
"1244",1244,14,87,"Medium","Medium",7,55,"Yes","Low","High","Private","Male",68
"1245",1245,16,71,"Medium","High",9,69,"Yes","Low","Medium","Public","Female",65
"1246",1246,13,68,"Low","Low",8,66,"Yes","Medium","Low","Public","Male",59
"1247",1247,20,97,"High","Medium",7,94,"Yes","Medium","Medium","Public","Male",72
"1248",1248,15,61,"Medium","High",6,54,"Yes","High","High","Private","Male",63
"1249",1249,21,78,"Medium","Medium",4,72,"Yes","Medium","High","Public","Male",68
"1250",1250,11,61,"Medium","Medium",9,98,"Yes","Medium","High","Public","Male",61
"1251",1251,22,79,"Low","Medium",7,75,"Yes","Low","High","Private","Female",65
"1252",1252,25,80,"Medium","Medium",9,57,"Yes","Low","High","Public","Female",68
"1253",1253,8,73,"Low","Medium",6,65,"Yes","Low","Medium","Public","Male",61
"1254",1254,22,65,"Low","Low",10,81,"Yes","Low","","Private","Male",63
"1255",1255,27,75,"Medium","Medium",7,51,"Yes","Medium","Low","Public","Male",67
"1256",1256,13,87,"Low","Medium",6,98,"Yes","High","High","Public","Male",66
"1257",1257,30,91,"Medium","Medium",7,78,"Yes","Medium","Medium","Private","Male",75
"1258",1258,23,81,"Medium","Medium",7,85,"Yes","Medium","Medium","Public","Male",68
"1259",1259,16,84,"Low","Medium",7,75,"Yes","Medium","Medium","Public","Female",65
"1260",1260,20,68,"Low","Medium",6,98,"Yes","Low","High","Public","Female",64
"1261",1261,23,71,"High","Medium",4,79,"No","Low","Medium","Public","Male",67
"1262",1262,20,66,"Low","Medium",6,83,"Yes","Low","Medium","Private","Male",64
"1263",1263,23,70,"Medium","High",9,93,"Yes","Low","High","Public","Female",67
"1264",1264,14,69,"Medium","High",6,93,"No","Low","Medium","Private","Male",63
"1265",1265,21,81,"High","Medium",4,51,"Yes","Medium","Medium","Private","Female",67
"1266",1266,12,83,"High","Low",5,64,"Yes","High","Medium","Private","Female",65
"1267",1267,19,98,"High","Low",7,62,"Yes","Low","High","Public","Female",70
"1268",1268,15,68,"Medium","Medium",6,50,"Yes","High","Low","Public","Male",62
"1269",1269,16,86,"High","Medium",7,94,"Yes","Low","High","Public","Female",69
"1270",1270,27,93,"Medium","Low",6,66,"Yes","Medium","Medium","Public","Female",70
"1271",1271,27,82,"Medium","Medium",9,67,"Yes","Low","High","Private","Male",68
"1272",1272,24,70,"Medium","High",8,55,"Yes","Low","High","Public","Female",68
"1273",1273,13,71,"Medium","Medium",10,99,"Yes","Low","Medium","Public","Male",64
"1274",1274,18,62,"Low","High",6,91,"No","Low","Medium","Private","Male",63
"1275",1275,27,72,"Low","Low",7,79,"Yes","High","High","Public","Female",68
"1276",1276,21,90,"High","Low",9,89,"Yes","Low","Low","Public","Female",67
"1277",1277,34,62,"High","Low",8,89,"Yes","Low","Medium","Private","Female",68
"1278",1278,22,69,"Medium","High",6,83,"Yes","Low","Medium","Public","Female",66
"1279",1279,21,88,"Medium","Medium",8,59,"No","Medium","Medium","Private","Male",67
"1280",1280,18,91,"High","Medium",8,86,"Yes","Medium","Medium","Public","Male",69
"1281",1281,21,78,"High","Medium",4,78,"Yes","High","Medium","Private","Male",68
"1282",1282,19,88,"Medium","High",6,86,"Yes","Medium","Medium","Public","Male",70
"1283",1283,24,76,"Medium","Medium",7,77,"Yes","Medium","Medium","Private","Female",68
"1284",1284,26,66,"Low","Medium",9,98,"Yes","Low","Medium","Public","Male",66
"1285",1285,15,76,"Medium","High",8,81,"Yes","Low","Medium","Private","Female",67
"1286",1286,12,83,"Medium","Medium",6,79,"Yes","High","Low","Public","Female",65
"1287",1287,9,98,"Medium","Medium",6,92,"Yes","Medium","Medium","Public","Male",67
"1288",1288,23,63,"Medium","Medium",8,69,"Yes","Medium","Low","Public","Male",63
"1289",1289,13,80,"Low","High",4,66,"Yes","Low","Medium","Public","Female",64
"1290",1290,7,73,"High","Medium",6,75,"Yes","Low","Medium","Public","Female",64
